Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 28),,(n = 22),,(n = 6),,(n = 26),,(n = 19),,(n = 7),,(n = 40),,(n = 31),,(n = 9),,(n = 37),,(n = 29),,(n = 8),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),7693,8103,8518,8922,4667,2503,6558,4364,6605,4271,6429,4962,10925,6900,10710,6267,11667,9165,14378,8905,14552,7013,13750,14509
Loan Period (number of months),4,1,4,1,4,1,4,1,4,1,4,1,5,1,4,1,5,1,4,0,4,0,4,0
Monthly interest rate (percent),8,3,8,3,7,3,7,5,6,4,11,7,5,4,4,3,9,5,6,3,5,1,10,4
Zamboanga Sibugay,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 10),,(n = 4),,(n = 6),,(n = 4),,(n = 1),,(n = 3),,(n = 16),,(n = 8),,(n = 8),,(n = 10),,(n = 4),,(n = 6),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),11420,11380,14250,17212,9533,6683,8000,4320,8000,0,8000,5292,25031,26191,30125,34659,19938,14468,23500,14983,19250,2986,26333,19356
Loan Period (number of months),4,1,4,0,3,1,3,0,3,0,3,0,4,2,3,0,5,3,4,1,4,1,4,1
Monthly interest rate (percent),14,4,10,3,17,3,13,4,8,0,14,4,8,10,14,12,2,2,9,8,11,10,8,7
Bukidnon,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 10),,(n = 10),,(n = 0),,(n = 5),,(n = 5),,(n = 0),,(n = 17),,(n = 16),,(n = 1),,(n = 16),,(n = 16),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),10500,8599,10050,8927,0,0,15000,14036,15000,14036,0,0,17829,24570,17694,25369,20000,0,17594,18413,17594,18413,0,0
Loan Period (number of months),5,6,6,6,0,0,4,1,4,1,0,0,4,1,4,1,4,0,5,1,5,1,0,0
Monthly interest rate (percent),7,4,7,4,0,0,7,2,7,2,0,0,4,3,4,3,10,0,7,5,7,5,0,0
Davao de Oro,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 8),,(n = 8),,(n = 0),,(n = 7),,(n = 7),,(n = 0),,(n = 17),,(n = 14),,(n = 3),,(n = 12),,(n = 10),,(n = 2),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9625,3815,9625,3815,0,0,12786,9128,12786,9128,0,0,16133,8732,15000,8348,21422,10299,13787,8802,14544,9533,10000,0
Loan Period (number of months),4,0,4,0,0,0,3,0,3,0,0,0,3,1,3,1,3,0,4,1,4,1,3,0
Monthly interest rate (percent),10,1,10,1,0,0,9,2,9,2,0,0,6,6,6,7,3,2,2,2,2,2,3,1
Davao del Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 13),,(n = 13),,(n = 0),,(n = 8),,(n = 8),,(n = 0),,(n = 16),,(n = 16),,(n = 0),,(n = 20),,(n = 20),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9477,7747,9477,7747,0,0,9188,5424,9188,5424,0,0,15750,10103,15750,10103,0,0,16400,11614,16400,11614,0,0
Loan Period (number of months),4,1,4,1,0,0,4,1,4,1,0,0,4,0,4,0,0,0,5,1,5,1,0,0
Monthly interest rate (percent),8,4,8,4,0,0,10,2,10,2,0,0,7,3,7,3,0,0,5,4,5,4,0,0
Davao del Sur,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 23),,(n = 22),,(n = 1),,(n = 19),,(n = 19),,(n = 0),,(n = 37),,(n = 37),,(n = 0),,(n = 33),,(n = 33),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),10260,7742,10499,7837,5000,0,10100,8555,10100,8555,0,0,23330,19868,23330,19868,0,0,22697,18693,22697,18693,0,0
Loan Period (number of months),3,1,3,1,3,0,3,0,3,0,0,0,4,2,4,2,0,0,4,2,4,2,0,0
Monthly interest rate (percent),9,4,9,3,17,0,8,4,8,4,0,0,6,4,6,4,0,0,7,6,7,6,0,0
Davao Oriental,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 30),,(n = 28),,(n = 2),,(n = 31),,(n = 29),,(n = 2),,(n = 41),,(n = 41),,(n = 0),,(n = 34),,(n = 34),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),13124,10486,13454,10644,8500,9192,10326,7685,10762,7756,4000,1414,18354,17062,18354,17062,0,0,11471,9790,11471,9790,0,0
Loan Period (number of months),4,1,4,1,3,1,3,0,3,0,3,0,3,1,3,1,0,0,3,0,3,0,0,0
Monthly interest rate (percent),7,2,7,2,9,2,7,2,7,2,8,4,7,7,7,7,0,0,10,7,10,7,0,0
North Cotabato,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 19),,(n = 13),,(n = 6),,(n = 12),,(n = 11),,(n = 1),,(n = 37),,(n = 24),,(n = 13),,(n = 32),,(n = 21),,(n = 11),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),15049,25684,20533,29764,3167,983,8073,3884,8625,3545,2000,0,9014,7971,10396,9116,6462,4521,8223,7332,10403,8087,4061,2612
Loan Period (number of months),4,1,4,1,3,1,3,0,3,1,3,0,4,1,4,1,3,1,3,1,3,1,4,1
Monthly interest rate (percent),8,3,7,3,10,2,7,3,7,3,10,0,5,6,4,6,5,5,4,4,5,4,3,1
South Cotabato,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 31),,(n = 24),,(n = 7),,(n = 10),,(n = 10),,(n = 0),,(n = 16),,(n = 14),,(n = 2),,(n = 3),,(n = 2),,(n = 1),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),5113,3183,4229,2449,8143,3716,4750,3824,4750,3824,0,0,14349,14586,11756,11851,32500,24749,8133,2730,9700,424,5000,0
Loan Period (number of months),4,1,4,1,4,0,3,0,3,0,0,0,4,2,4,2,4,1,3,0,3,0,3,0
Monthly interest rate (percent),12,5,12,6,11,4,14,9,14,9,0,0,6,5,5,4,11,9,5,3,6,3,3,0
Sultan Kudarat,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 30),,(n = 27),,(n = 3),,(n = 15),,(n = 13),,(n = 2),,(n = 44),,(n = 36),,(n = 8),,(n = 28),,(n = 28),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),6362,4852,6852,4849,1950,1780,4786,2636,5077,2532,2000,0,11856,14672,10347,6341,19875,32450,10857,7246,10857,7246,0,0
Loan Period (number of months),3,1,3,1,3,1,3,0,3,0,3,0,4,1,4,1,4,1,4,0,4,0,0,0
Monthly interest rate (percent),7,4,7,4,9,2,7,4,7,4,8,4,4,3,4,3,2,1,4,3,4,3,0,0
Agusan del Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 16),,(n = 9),,(n = 7),,(n = 16),,(n = 9),,(n = 7),,(n = 34),,(n = 19),,(n = 15),,(n = 29),,(n = 18),,(n = 11),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),7594,4484,7222,4969,8071,4107,7750,5273,6111,2848,9857,7034,12941,7532,12737,8405,13200,6538,17069,11898,20611,12871,11273,7431
Loan Period (number of months),4,1,4,1,3,0,4,1,4,0,3,0,4,1,4,1,4,1,4,2,4,1,4,3
Monthly interest rate (percent),9,3,9,4,8,2,8,2,8,2,9,2,9,9,7,6,12,12,7,6,8,5,5,6
Agusan del Sur,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 32),,(n = 22),,(n = 10),,(n = 31),,(n = 18),,(n = 13),,(n = 38),,(n = 27),,(n = 11),,(n = 42),,(n = 24),,(n = 18),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9106,5423,9518,5399,8200,5653,13403,26125,8250,5740,20538,39555,28342,48649,32963,56929,17000,11465,15107,10018,13604,6917,17111,13033
Loan Period (number of months),4,1,4,1,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,1,4,1
Monthly interest rate (percent),9,4,9,4,10,5,11,5,11,5,12,5,6,4,6,4,7,4,5,4,6,3,5,6
Maguindanao,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 22),,(n = 13),,(n = 9),,(n = 0),,(n = 0),,(n = 0),,(n = 16),,(n = 13),,(n = 3),,(n = 13),,(n = 13),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),15309,9151,15292,11455,15333,4796,0,0,0,0,0,0,16278,10758,19077,10177,5000,4359,9154,4318,9154,4318,0,0
Loan Period (number of months),3,0,3,0,4,1,0,0,0,0,0,0,4,0,4,0,3,0,4,1,4,1,0,0
Monthly interest rate (percent),9,4,8,4,10,1,0,0,0,0,0,0,3,1,2,1,3,0,1,1,1,1,0,0
