Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Thiophanate methyl,0.54,0.41,0.88,2.16,2.32,1.4,3.01,3.53,1.18,2.02,2.37,0.54
Difenoconazole + propiconazole,--,--,--,0.16,0.19,--,2.7,2.86,2.16,2.85,2.82,2.99
Chlorothalonil,0.96,1.24,0.22,0.88,1.06,--,0.61,0.78,--,0.88,1.09,--
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 29),(n = 24),(n = 5),(n = 10),(n = 9),(n = 1),(n = 53),(n = 50),(n = 3),(n = 17),(n = 17),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Chlorpyrifos + BPMC,37.93,37.5,40,40,44.44,--,33.96,34,33.33,29.41,29.41,--
Cypermethrin,20.69,25,--,30,22.22,100,26.42,26,33.33,5.88,5.88,--
Lambdacyhalothrin,20.69,20.83,20,20,22.22,--,7.55,8,--,29.41,29.41,--
Methomyl,10.34,8.33,20,--,--,--,1.89,2,--,5.88,5.88,--
Carbaryl,3.45,--,20,--,--,--,--,--,--,--,--,--
Carbofuran,--,--,--,10,11.11,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide,3.45,4.17,--,10,11.11,--,--,--,--,29.41,29.41,--
Niclosamide ethanolamine salt,--,--,--,--,--,--,--,--,--,11.76,11.76,--
Rodenticides,,,,,,,,,,,,
Coumatetralyl,6.9,4.17,20,--,--,--,--,--,--,5.88,5.88,--
Herbicides,,,,,,,,,,,,
Bispyribac sodium,--,--,--,--,--,--,20.75,22,--,--,--,--
"2,4-D IBE",--,--,--,--,--,--,7.55,8,--,5.88,5.88,--
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 111),(n = 83),(n = 28),(n = 67),(n = 67),(n = 0),(n = 136),(n = 115),(n = 21),(n = 82),(n = 81),(n = 1)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,39.64,39.76,39.29,40.3,40.3,--,34.56,39.13,9.52,41.46,41.98,--
Chlorpyrifos + BPMC,13.51,16.87,3.57,26.87,26.87,--,26.47,26.96,23.81,12.2,12.35,--
Betacypermethrin,14.41,14.46,14.29,19.4,19.4,--,8.09,8.7,4.76,21.95,22.22,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,4.41,5.22,--,4.88,3.7,100
Lambdacyhalothrin,9.91,12.05,3.57,4.48,4.48,--,5.88,5.22,9.52,3.66,3.7,--
Methomyl,4.5,4.82,3.57,1.49,1.49,--,5.15,6.09,--,2.44,2.47,--
Carbofuran,6.31,1.2,21.43,--,--,--,--,--,--,1.22,1.23,--
Fenvalerate,6.31,6.02,7.14,2.99,2.99,--,--,--,--,--,--,--
Chlorpyrifos,--,--,--,--,--,--,4.41,2.61,14.29,1.22,1.23,--
Deltamethrin,5.41,7.23,--,2.99,2.99,--,1.47,1.74,--,--,--,--
Esfenvalerate,0.9,--,3.57,--,--,--,1.47,0.87,4.76,2.44,2.47,--
Fipronil,2.7,--,10.71,--,--,--,0.74,0.87,--,--,--,--
Cartap hydrochloride,0.9,1.2,--,1.49,1.49,--,1.47,1.74,--,2.44,2.47,--
Phentoate + BPMC,--,--,--,--,--,--,5.88,6.96,--,--,--,--
Propineb,3.6,3.61,3.57,--,--,--,--,--,--,--,--,--
Thiamethoxam,--,--,--,2.99,2.99,--,1.47,1.74,--,--,--,--
Diazinon,1.8,1.2,3.57,--,--,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,3.6,4.82,--,13.43,13.43,--,--,--,--,53.66,53.09,100
Metaldehyde,9.01,10.84,3.57,16.42,16.42,--,--,--,--,8.54,8.64,--
Niclosamide,1.8,2.41,--,1.49,1.49,--,--,--,--,2.44,2.47,--
Rodenticides,,,,,,,,,,,,
Coumatetralyl,--,--,--,13.43,13.43,--,1.47,0.87,4.76,--,--,--
Zinc phosphide,--,--,--,--,--,--,0.74,0.87,--,9.76,9.88,--
Warfarin,5.41,7.23,--,--,--,--,--,--,--,--,--,--
Fungicide,,,,,,,,,,,,
Copper hydroxide,2.7,3.61,--,2.99,2.99,--,4.41,3.48,9.52,--,--,--
Mancozeb,0.9,1.2,--,--,--,--,4.41,3.48,9.52,1.22,1.23,--
Thiodiazole copper,1.8,2.41,--,2.99,2.99,--,--,--,--,--,--,--
