Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Hybrid,36.39,24.72,39.23,25.98,20.71,1.01,25.12,11.85,25.12,11.85,-,-,16.21,5.46,16,5.54,20,0,24.66,12.04,24.66,12.04,-,-,21.31,11.32,21.93,11.31,10,0,31.61,6.47,31.61,6.47,-,-
Registered,46.88,0,-,-,46.88,0,-,-,-,-,-,-,26.67,0,26.67,0,-,-,-,-,-,-,-,-,45.46,2.42,43.75,0,47.17,0,19.27,0.85,19.27,0.85,-,-
Certified,62.09,16.95,59.88,14.5,65.97,22.49,64.45,31.4,62.72,32.8,80,0,66.48,27.71,67.63,27.74,40,0,49.37,12.08,49.37,12.08,-,-,54.79,28.37,55.87,29.51,51.97,26.43,19.35,1.16,19.35,1.16,-,-
Good seeds,69.19,22.58,68.44,23.46,72.67,21.94,100.86,35.64,99.85,37.65,110,0,52.3,25.82,54.44,36.14,48,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Farmer's seed,104.38,46.35,102.84,28.99,107.47,74.91,102.58,15.97,102.58,15.97,-,-,82.18,31.86,82.18,31.86,-,-,85.17,27.96,85.17,27.96,-,-,75,0,75,0,-,-,26.66,10.51,26.66,10.51,-,-
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,0,40,0,-,-,-,-,-,-,-,-
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.94,0,52.94,0,-,-,-,-,-,-,-,-
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,0,20,0,-,-
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 146),,(n = 95),,(n = 51),,(n = 72),,(n = 72),,(n = 0),,(n = 149),,(n = 120),,(n = 29),,(n = 89),,(n = 87),,(n = 2),,(n = 151),,(n = 104),,(n = 47),,(n = 113),,(n = 113),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,Seeds (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid,48.71,33.54,49.78,34.73,46.56,44.64,25,0,25,0,-,-,14.67,6.09,16.9,5.15,8,2.83,29.29,13.13,29.29,13.13,-,-,134.57,114.96,131.48,70.78,136.11,138.33,20.39,10.97,20.39,10.97,-,-
Registered,160,0,-,-,160,0,-,-,-,-,-,-,91.55,47.75,91.55,47.75,-,-,89.09,29.22,89.09,29.22,-,-,-,-,-,-,-,-,39.58,34.65,39.58,34.65,-,-
Certified,74.98,41.15,79.75,35.1,69.07,47.84,100.06,28.03,100.06,28.03,-,-,114.4,57.1,117.88,58.27,78.29,23.84,85.93,32.26,84.12,31.74,126.67,9.43,94.12,36.86,97.73,33.37,84.67,44.07,100.54,35.77,100.54,35.77,-,-
Good seeds,103.66,30.38,103.66,30.38,-,-,117.14,71.88,117.14,71.88,-,-,132.54,46.16,132.95,47.24,130.81,44.06,106.67,38.82,106.67,38.82,-,-,93.62,42.93,105.07,45.59,65,21.21,122.4,78.86,122.4,78.86,-,-
Farmer's seed,113.96,57.63,117.74,58.05,105.68,56.89,109.64,51.14,109.64,51.14,-,-,136.4,52.91,135.97,45.58,137.02,64.14,133.06,56.86,133.06,56.86,-,-,105.43,32.65,101.6,29.3,112.73,38.7,109.55,39.7,109.55,39.7,-,-
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.17,46.94,98.31,55.26,97.78,12.57,122.96,86.22,122.96,86.22,-,-
Foundation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,0,40,0,-,-,-,-,-,-,-,-
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.25,5.3,26.25,5.3,-,-
Apayao,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 47),,(n = 13),,(n = 60),,(n = 56),,(n = 4),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,Seeds (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.97,11.43,20.37,8.5,28.77,18.97,16.63,4.42,16.41,4.52,19.33,1.15
Registered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,0,18,0,-,-,26.67,11.55,26.67,11.55,-,-
Certified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.22,28.49,53.5,32.38,58.67,21.42,63.81,42.46,62.56,43.93,80,0
Farmer's seed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.51,0.72,40.51,0.72,-,-,-,-,-,-,-,-
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,0,40,0,-,-
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.33,18.86,53.33,18.86,-,-
